消息,日期
"已回复：1伦 2佳 3男4雷（待定）5龙   6晖 7.大又，8伍礼9.开泉，10末
@所有人，
战李氏家族
9日周2晚上9点、
地点：文昌123之一
球衣：红。 
确认参加人员如下：
1，申
2、光
3浩
4 锋
5北纬
6雷
7表弟
封贴，墙插双倍",7.9
"
看到了消息不报名回复一下，
已回复：1浩 2锋3伦3开泉5.大又6阿尬7双龙8末9伍
@所有人，
战李氏家族
周五晚上9点、
地点：文昌123之一
Ag长钉勿穿
球衣：红。 
确认参加人员如下：
1，石头
2、北纬
3光
4蓝鸟
5雷
6佳恢复看脚跑得咩
7表弟

封贴，墙插双倍",7.12
"@所有人
看到了消息不报名回复一下，
已回复：1龙2浩3佳4末5伦6大又7文男8开泉9雷（待定）10伍11锋12表弟 （待定）11晖
@所有人，
战李氏家族
二晚上9点、
地点：文昌123之一
Ag长钉勿穿
球衣：红。 
确认参加人员如下：
1，申
2，光
3 周先生
4星
5雷
6啊尬（2号门将）
7 梁先生
8北纬
封贴，墙插双倍",7.16
"wxid_ucdipw7drhen12:
@所有人
@所有人
看到了消息不报名回复一下，
已回复：1浩2晖3佳4末5锋6伦7大又8龙9伍
@所有人，
战国药
7月19日晚上21：00
地点：文昌桥6号场
球衣：黑蓝灰或类似深色球衣
确认参加人员如下：
1，申
2，文男朋友1
3 ，北纬
4，开泉
5，光
6，阿尬替补守门员
7，文男朋友2
8，晖
9，韦泽(开泉朋友)
10，封贴了啵",7.19
"qq422035989:
@所有人
看到了消息不报名回复一下，
已回复：1龙2浩3雷（待定）表弟
战海怪
7月23日周二晚上21：00
地点：文昌桥123
球衣：红色
确认参加人员如下：
1，申
2，哲
3，周先生
4，龙（＋2朋友）
5，光
6，伍
7 晖
8(门将位):
封贴",7.23
"wxid_abxohe4bac4x21:
1@所有人
@所有人
看到了消息不报名回复一下，

已回复：1浩（暂定）2伦龙超有比赛3佳伤停 4伍5.男6晖7开泉
8月4日周日晚上21：00
地点：三柳1号
球衣：红色球衣
对手:潘裕龙之好柳州
确认参加人员如下：
1，申
2，北纬
3，雷（待定）
4，大又
5光
6哲
7末
8，锋
9浩
10表弟
11勋
12",8.4
"wxid_ynh0zw7mrjl222:
@所有人
@所有人
8-10周六9点 三号场
不来回复:浩，伦有比赛，双龙，锋，末，表弟，雷
地点:亿雷特
对手:柳工皇马(非桥底啊伯)
我方:白色
1申
2光
3北纬
4晖
5
6
7哲
8阿鲁巴5号
9阿鲁巴76号
10开泉",8.1
"chen_we1:
@所有人
@所有人
8-16周五9点
不来回复:浩，大又，锋，晖，伦
末地点:文昌2号
对手:刀锋意志
我方:红
1申
2开泉
3北纬
4表弟
5光
6勋
7哲
封贴",8.16
"fdy545907316:
@所有人
@所有人
8-24周六7点
不来回复:末(待定)，开泉，尬（待定），晖（上班）
地点:八中阿迪耐克7+1
对手:磊（橙色）
我方:白色
1大又
2申(晚到)
3伦
4北纬
5锋
6光
7哲
8两百斤中峰
9小黑
10阿文（哲朋友）也是三中的
11佳恢复看脚跑得咩
12浩跑看脚踝痛没痛（晚到）
13猴哥
14.杨好好",8.24
"wxid_abxohe4bac4x21:
@所有人
穿碎钉穿碎钉，不要穿ag
今天9点周二
不来回复:开泉 光 大又
地点:文昌12
我方:红色
1申
2佳
3浩
4北纬
5锋
6泉哥
7哲",8.27
